user_name,tweets
Irshad Hussain Rathi PTI,"1:02
3 views"
جمیل حسن,"Quote Tweet
Nafees Ahmed PTI
@Nafees4217
 · 17h
پاک فوج نے بھارتی سہنا کو سرحدی خلاف ورزی پر منہ توڑ جواب دیکر ثابت کر دیا پاک فوج دنیا کی بہترین فوج ہے"
Zoya Khan,"Quote Tweet
Afridi Tribal
@Afridijank
 · 13h
پی ٹی ایم نے ان دو قوم کو بچایا ۔ ۔ فوج تماشا دیکھ رہاہیں  تاکہ ۔ قبائل ۔ایک دوسرے کا دشمن بن جائے ۔اس لے فوج اور  ایف سی ۔ اور مقامی  صرف نام کا پولیس ۔ ان قبائلیوں کا مسئلہ حل کرنے کے لئے نہیں گیا #StopStateTerrorism twitter.com/groonwazir786/…"
Haroon,"From 
Haroon"
Zaeem Kharal,"Momina 
 and 9 others"
حق اور سچ,"Quote Tweet
ShafiqUrRehman
@u39399460
 · Nov 19
یہ ہیں وہ صاحب جن کی معمولی سی تنخواہ میں دو بچے انگلینڈ میں اور ایک بچی جرمنی میں تعلیم حاصل کر رہی ہے اور ہماری تنخواہ میں تین بچے الائیڈ سکول میں نہیں پڑھ سکتے"
"عدنان حسین کھوکھر
(ISPR)","Quote Tweet
Zaid Hamid
@ZaidZamanHamid
 · 7h
جو لوگ آج پاک فوج پر بھونکتے ہیں ان کے لئے یہ ایک نصیحت ہے۔۔ 
یاد رکھو اگر پاک فوج نہ ہو تو جلد ہی تمہارے گھروں میں کفار اور مشرکین کی فوج اور  خوارج دہشت گرد اسی طرح تمہیں اور تمہاری عورتوں کو رسوا کریں گے۔۔ 
 اپنے ملک کے شیروں پر حملے کرو گے تو دشمن کے کتے تمہیں کھا جائیں گے۔"
Usman Abbasi,"2:18
29 views"
Amjad Amin,"Quote Tweet
Hamid Aziz
@HamidAziz03
 · 18h
 نکتہ  چینی  
کہتے ھیں کہ کسی سلطنت کے بادشاہ نے 
جنگ میں شریک ھونے والے گھوڑوں کے اصطبل کے ساتھ ہی گدھے بھی رکھے ہوۓ تھے۔ گدھے ہر روز گھوڑوں کا بچا ہوا کھانا کھاتے اور گھوڑوں کو ویہلا اور نکما کہتے۔ اندر ہی اندر کُڑھتے رہتے کہ گھوڑوں کیلیے اتنا اچھا کھانا اور ہم 
1/n
Show this thread"
Husnain Shah MSF (N),Maryam Nawaz Sharif and 9 others
βαŘʸคⓁᎥ,"محسن داوڑ الجھن کا شکار ؟ سیاست یا پی ٹی ایم میں کسی ایک کا انتخاب کرنا ہوگا
تحریر:عبداللہ جان صابر ۔۔۔۔۔قومی اسمبلی کے رکن محسن داوڑ نے آج ٹوئیٹر پیغام میں کہا کہ وہ پی ٹی ایم کور کمیٹی کے ممبر ہیں اور پی ٹی ایم کوئی سیاسی جماعت نہیں ہے ،وہ کبھی سیاست نہیں کرتے ہیں۔محسن دا…
concepttvurdu.com"
Abdulfazil Khan,"Quote Tweet
Dr. Shahbaz GiLL
@SHABAZGIL
 · 17h
بدل رہا پاکستان۔ عمران خان کا پاکستان 

میاں مفرور نواز شریف نے کابل کا دورہ 58 ہزار ڈالر میں کیا 
مسٹر 10 پرسینٹ آصف علی زرداری نےکابل دورہ 44 ہزار ڈالرز میں کیا 

راجہ پرویز اشرف نے 51 ہزار ڈالر میں کیا

اور ہمارے کپتان عمران خان نے یہی دورہ صرف 11 ہزار ڈالر میں کیا۔شکریہ کپتان"
Z aheer(A proud Pakistani),"Quote Tweet
Murad Saeed
@MuradSaeedPTI
 · 23h
https://brecorder.com/news/40034037"
Z aheer(A proud Pakistani),"Quote Tweet
Shireen Mazari
@ShireenMazari1
 · Nov 20
Today is World Children's Day. Our children are our asset. It is our moral & constitutional duty & our international commitment under Convention on Rights of the Child to ensure a safe & enabling environment for all our children. We are moving resolutely to fulfil these goals.
2:02
7.7K views"
Z aheer(A proud Pakistani),"Quote Tweet
The President of Pakistan
@PresOfPakistan
 · 16h
دیکھئے صدر مملکت ڈاکٹر عارف علوی کاشوکت پراچہ کے ساتھ خصوصی انٹرویو، آج رات 10 بجے، آج نیوز پر.

@ArifAlvi"
M Akram Mangat,"Quote Tweet
Tehmoor Ali Abbasi
@TehmoorAAbbasi
 · 19h
میرے بیٹے کے سینے میں بائیس گولیاں لگی لیکن اس کی ٹانگیں نہیں کانپی براہ مہربانی ہماری فوج کے خلاف بات نہ کیا کریں ہم سے پوچھیں ہم پر کیا گزرتی ہے فوجی شہید کے باپ کا پیغام۔
1:13
379 views"
Z aheer(A proud Pakistani),"Quote Tweet
Fahd Husain
@Fahdhusain
 · 19h
This is one whole column right here
#brtpeshawar"
Iftikhar Malik,"Quote Tweet
𝕊𝕙𝕒𝕙𝕚𝕕 ℂ𝕙𝕒𝕦𝕕𝕙𝕒𝕣𝕪
@Shahidc558
 · 19h
تم جوتھے،نہ تھاقریب کوئ درد میرے

مجھ کوپہلے اکیلے رہناسیکھائو بابا"
Javed,"Quote Tweet
Tehmoor Ali Abbasi
@TehmoorAAbbasi
 · 19h
میرے بیٹے کے سینے میں بائیس گولیاں لگی لیکن اس کی ٹانگیں نہیں کانپی براہ مہربانی ہماری فوج کے خلاف بات نہ کیا کریں ہم سے پوچھیں ہم پر کیا گزرتی ہے فوجی شہید کے باپ کا پیغام۔"
Daily Pakistan,"جنرل قمر جاوید باجوہ کے دور میں غیرملکی سرمایہ کاروں کی آمد اور کھیلوں کی سرگرمیاں بھی شروع لیکن...
لاہور (کالم: شوکت ورک) جنرل قمر جاوید باجوہ نے 28نومبر 2016ءمیں جب پاک فوج کے سربراہ کا منصب اعلیٰ سنبھالا تو اس وقت وطن عزیز متعدد بحرانوں کا شکار تھا۔ دہشت
dailypakistan.com.pk"
شاہد شباب پاکستان تحریک انصاف پاک فوج زندہ باد,"Quote Tweet
Sara Khan
@drsarakhan0
 · 19h
محبت کا جھانسہ دے کر کسی کی زندگی تباہ نہ کریں"
Zoya Khan,"Quote Tweet
Shakoor afghan
@PashtoonHero
 · Nov 19
کیا کبھی امریکی وزیراعظم یا چاینا کا وزیر اعظم یا انڈیا کا وزیر اعظم جس ملک کابھی وزیر اعظم ہو کیا اپ نے اسے کسی ملک جانے کے وقت اس کے ساتھ کسی ادارے کا سربراہ یا ایجنسیوں کے اہلکاروں کو اس کے ساتھ جاتےہوۓ دیکھا ہیں تو یہ ہمارا والا کیوں دوسرے ہجڑے کو ساتھ لے کر افغانستان گیا"
کاشف خان,"Quote Tweet
Afridi Tribal
@Afridijank
 · 21h
کیس نے خوب لکھا ہیں کے منافقین دو قسم کے ہوتے ہیں ایک غیر مسلم ہوتے ہیں ایک مسلمان سب سے زیادہ خطرناک منافقین مسلمان ہوتے ۔پی ٹی ایم کے ختم کرنے کا خواب تو منافقین کا پورا نہیں ہوگا  ناکام تو فوج ہے  جو پورا دنیا اس پر پابندی لگاتے اور پاکستان کے تمام پارٹی ۔فوج پر الزام لگتا ہیں  twitter.com/khannn_kashif/…"
Zoya Khan,"Quote Tweet
Afridi Tribal
@Afridijank
 · Nov 20
#PTIMurdabad 
 کرونا  فوج کے جنرل پر اثر نہیں کرتے یہ زہریلے ۔ مقصد کرونا ۔سیاستدانوں  اور غریب عوام  کو مار سکتا ہے ۔ پہلے لوگوں کو مختلف طریقے سے اغوا کرکے پھر شہید  کردیتے تھے ابھی ان کے بہانہ کرونا ہے کرونا کے ذریعے لوگوں کو شہید کرتے  ۔نمبر ڈرت twitter.com/Shinamuller/st…"
Z aheer(A proud Pakistani),"Quote Tweet
Sheikh Rashid Ahmed
@ShkhRasheed
 · Nov 20
مولانا خادم حسین رضوی کی اچانک وفات پر بہت دکھ ہوا۔انہوں نے اپنے ہزاروں مداحین کو سوگوارکر دیا۔مولانا خادم حسین رضوی ایک سچے عاشق رسول تھے۔ ناموس رسالت صلی اللہ علیہ وآل وسلم کے لئے ان کی خدمات ناقابل فراموش ہیں۔
اللہ تعالی مرحوم کے درجات بلند کرے۔ نبی کریم کی شفاعت نصیب کرے۔آمین"
Z aheer(A proud Pakistani),"Quote Tweet
Senator Shibli Faraz
@shiblifaraz
 · 22h
زرداری صاحب نے تو پیپلز پارٹی کو ایک وفاقی جماعت سے سندھ اور لاڑکانہ تک محدود کر دیا جبکہ مریم نواز انتھک محنت سے ن لیگ کو گوالمنڈی کی جماعت بنا رہی ہیں۔ ن لیگ کی اکثریت خود مریم کے بیانیے سے بیزار ہے لیکن پارٹی میں جمہوریت نہ ہونے کی وجہ سے کوئی سر اٹھا کر بات نہیں کر سکتا۔"
Gulraiz Tabbasam,"Quote Tweet
Riaz Sheikh
@RiazSheikh100
 · 22h
نام ہونٹوں پہ ترا آئے تو راحت سی ملے
تو تسلی ہے ؟ دلاسہ ہے ؟ دعا ہے ؟ کیا ہے؟"
Muhammad Ashraf Rao,"Quote Tweet
Hassan khan
@pak__Army_
 · Nov 19
اس لڑکی کی بات سنیے "
Z aheer(A proud Pakistani),"Quote Tweet
sherry khan
@sherazkhanlodhy
 · Nov 20
شکریہ  چیف صاحب 
  twitter.com/sherazkhanlodh…"
Z aheer(A proud Pakistani),"Quote Tweet
Kamran
@kamihbutt
 · Nov 20
فواد چوہدری کے سابقہ باس پرویز مشرف نے بھی اکبر بگتی کو اسی طرح کی دھمکی دی تھی اور اس وقت بھی اعجاز شاہ وزیر داخلہ تھا.
جسٹس وقار سیٹھ اور خادم رضوی کی مشکوک حالات میں اموات کی تحقیقات ہونی چاہئیں تاکہ ان اموات کی اصل وجوہات سامنے آ سکیں."
Z aheer(A proud Pakistani),"Quote Tweet
Gul Bukhari
@GulBukhari
 · Nov 19
اب میں دی نیشن کوجھوٹی سٹوری پہ کچھ کانسیپٹ کلئیر کر دوں۔ PDM تحریک ہے، نا کوئی پارٹی ہے، نہ آرگنائزیشن ہے، نہ اس کا سٹرکچرہے، نہ اس کانسٹیٹیوشن ہے، نہ رُولز ہیں جن کی خلاف ورزی ہو سکے۔ نہ کسی کے پاس کسی اور کو expel کرنے کی اتھاریٹی ہے۔ ایسی بیہودہ خبر چلانے سے پہلے سوچ لیا کریں"
Z aheer(A proud Pakistani),"Quote Tweet
Ahsan Iqbal
@betterpakistan
 · Nov 20
ماسک پہننا بزدلی نہیں بلکہ بہادری ہے- ماسک نہ پہننا اپنی مرضی نہیں بلکہ اپنوں اور دوسروں کی صحت کا سوال ہے- باہر نکلیں یا اجتماع میں جائیں تو ماسک ضرور پہنیں اور محفوظ رہیں- احتیاط علاج سے بہتر ہے-"
Z aheer(A proud Pakistani),"Quote Tweet
Rimmsh Rajput Bhatti
@RimmshBhatti29
 · 22h
Rs 29.65 Billion.                 Rs 71 Billion
Credits SS.                       Credits IK
( Lahore ).                       ( Peshawar)"
Z aheer(A proud Pakistani),"Quote Tweet
نادیہ مرزا
@nadia_a_mirza
 · Nov 19
اہم اعلان 
گلگت بلتستان میں پی ٹی آئی 16 سیٹس کیساتھ حکومت بنانے کیلیے تیار۔ 
تمام چھ آزاد امیدواروں کے علاوہ جے یو آئی ایف کے سابقہ اپوزیشن لیڈر حاجی شاہ بیگ بھی پی ٹی آئی میں شامل۔ 
وزیر اعلی کا نام بھی فائنل۔ 
#GilgitBaltistanElections2020 #GilgitBaltistan"
Z aheer(A proud Pakistani),"Quote Tweet
Gul Bukhari
@GulBukhari
 · Nov 20
باجوہ صاحب سے کہیں اب خود ہی سنبھال لیں ٹی ایل پی کی قیادت —- کوئی پردہ داری تو ہے نہیں twitter.com/OfficialDGISPR…"
Z aheer(A proud Pakistani),"Quote Tweet
Umar Cheema
@UmarCheema1
 · Nov 19
نئی اطلاع کیمطابق پرانی اطلاع درست تھی"
Z aheer(A proud Pakistani),"Quote Tweet
Farhatullah Babar
@FarhatullahB
 · Nov 19
Did Khadim Rizvi really threaten the other day to disclose at whose behest he had staged sit in & besieged the capital? The question lurked at the back of mind just as the news of his passing away broke on social media a short while ago"
Z aheer(A proud Pakistani),"Quote Tweet
اُمِ فاروق
@humairaajmal697
 · Nov 20
حافظ سعید کو فنڈنگ کیس میں ساڑھے دس سال سزا دے دی گئ
عمران خان کو فارن فنڈنگ کیس میں کب اور کتنی سزا دی جائے گی 
تکا تو لگاؤ مسلمانو"
Z aheer(A proud Pakistani),"Quote Tweet
Kamran Khan
@AajKamranKhan
 · Nov 19
Pakistan Economy is on right track. 2021 is going to be a much better year.Govt will continue to support protect industry and businesses. No hiccups in the IMF program or in external payments due next year, watch PM’s Advisor on Finance Dr Abdul Hafeez Sheikh at DKKKS tonight"
Geo News,"The following media includes potentially sensitive content. Change settings
View"
