user_name,tweets
AAlirazabutt,"@OfficialDGISPR
 
فوج سے بڑا کمینہ محکمہ پاکستان میں نہیں ایک نمبر کے بھگوڑے ہیں"
پاکستان ذندہ باد۔ پاک فوج ذندہ باد,کیوںنکہ سردی کی وجہ سے مرغی کو سردیوں میں باہر جانے سےڈر لگتاہیں۔
Opinionator,کرتوت کسی اور کے اور نام لگ جاتا ہے فوج کا۔ اپوزیشن کو یہاں سے سمجھنا چاہیے کہ یہ لوگ فوج کے نام کے پیچھے چھپ کر اپنی کاروای کرتے ہیں۔
Syed Nazar Abbas,"Quote Tweet
#MatrukaSindh 40% of Province Sindh
@MatrukaSindh
 · Oct 31
سوال یہ ہے کہ فوج کی بہادری صرف کراچی کے جوانوں پہ ہی صادق ہوتی ہے۔ ایاز صادق ہو یا کوئی اور لیگی ان کی چار دیواری تک جاتے بُوٹ ٹوٹ جاتے ہیں کیا ؟ بند کرو سیاسی ڈرامہ۔ کراچی سمیت #MatrukaSindh  کے ہر انچ پہ مہاجر کو اسکا اختیار دو"
Dibarjan,حوالدار صٻب زان تٻار ساتہ پتلون دی تلے واخلہ۰ ناپاک فوج مردہ باد
Mansoor A. Chauhan,"یہ حالات جان بوجھ کر پیدا کئے گئے ہیں تاکہ لوگوں کو حقائق سےدور رکھا جائے- اصل بات کارکردگی ہے، 
 پاک فوج کے خلاف منفی بات بلکل 
نہیں ہونی چاہئے،   صحیح تنقید ضرور کریں کی جو کریکشکن کے لئے ہو، کسی کی بھی بے عزتی کرنا غلط بات ہے، اور فوج کی بے عزتی کرنا اور بھی غلط بات ہے-"
جھوٹوں کا دشمن,افسوس کی بات ہے کہ ایاز میر صادق کے فوج کے خلاف بیان پر نہیں بلکہ ثنااللہ زھری کو اسٹیج پر نہ بٹھانے پر اختلاف ہوا تھا،  لعنت ہے
Amir_Diwana,"پھر بولتے ہیں فوج ٹھیک نا ہی ہے اب کیا کرے فوج انکو مارتی ہے یہ کہتے ہیں ہم پے ظلم ہو رہا ہے 
@asmashirazi
 @hinaparvezbutt
 @Karachi__Wali"
پاکستان ذندہ باد۔ پاک فوج ذندہ باد,میں لندن سے نواز شریف کی طرف سےبھج رہا ہوں اور میاں صاحب نے یہ پیغام میر ایاز صادق کو دینا۔کہنہ ارے کتے تو اپنی پارٹی کر ہوکے مجھے ہی دیوار سے لگانے اور میرے سے بڑا غدار اور نمک حرام بنے کی کوشش کررہا ہیں۔اور أس گدھے کو کہنا تو ابھی بچہ ہیں غداری کے کام میں۔چل نکلے پتلی گلی سے
Gul,فیک نہی ھے اکاونٹ اس کا سافٹ ویر چینج کر دیا ھے فوج نے
Spartacus,"Quote Tweet
Dr Humma Saif
@HummaSaif
 · Nov 1
Had you not been on traitor-certificates-distribution spree, things wouldn’t have gone astray. Now you are saying n explaining exactly what #AyazSadiq said n meant. Wish you realize this traitor n infidel accusations have serious consequences"
isra,تو یہی تو مسئلہ ہے ہے ہر کام ہو فوج پہلے فوج کو ریسکیو ون ون ٹو ٹو بنایا ہوا ہے جب جنگ کی باری آتی ہے تو ان کی ٹانگیں کاپتی  ہیں
بلوچستان کی آواز,آوے بھائی آدھا دماغ والے انکا کہنا ہیں کہ ان طالبان کو پاک فوج نے آپریشن کے ذریعے ختم کی ہیں اور اے این پی طالبان کے خلاف ہو گئے تھے اور طالبان کا ریکشن تھا وہ کہتا ہیں کہ اپنے آرمی کی قدر کریں اس سے پہلے کہ پھر دہشتگرد ہمارے صفوں میں گھسے
Mian Aamir,"Quote Tweet
Dr Humma Saif
@HummaSaif
 · Oct 31
جنرل ایوب خاں نے بیرونی دباؤ میں سنہری موقع ضائع کردیا کشمیر آذاد کرانے کے : نیا پاکستان بننے سے پہلے کے کامران خان صاحب
2:04
21K views"
RabRaakha,"Quote Tweet
Zartaj Gul Wazir
@zartajgulwazir
 · Nov 1
We're witnessing the beginning of the end of PML-N. A total meltdown in its hierarchy is imminent as gaping holes are emerging in its facade. This is what happens when anti-state narratives are pushed with ill-considered assumed impunity.

Pakistan 
 wins.

#وطن_یا_شریف_خاندان"
Abdurraufkhan Durrani,فوج کے خلاف بولنے والوں کو گرفتار کر کے غداری کے مقدمے قائم کئے جائیں اور کیفر کردار تک پہنچایا جائے. جو لوگ ایکشن لینے سے منع کر رہے ہیں عمران خان صاحب انہیں کابینہ سے فارغ کریں اور دلیر لیڈروں کو آگے لائیں. غداروں کے خلاف ایکشن میں سستی حکومت کی کمزوری کا تاثر جا رہا ہے
Jawwad Rizvi,70%آرمی آفیسرز کے بچے فوج میں ہی جاتے ہیں... آپ سے بلا تحقیق کسی کمنٹ کی توقع نہیں تھی
S-rehman,"Quote Tweet
Raja Kabeer ™
@kabeerraja786
 · Nov 1
فواد چوہدری کے ہندوستانی ٹی وی انٹرویو کے بعد کیا اب ترجمان پاک فوج اپنی میڈیا ٹاک پہ نوازلیگ اور خصوصا ایاز صادق سے معافی مانگیں گے کیونکہ ان کی اشتعال انگیز گفتگو کے بعد غداری مہم اور لاھور میں بینرز لگوائے گئے
آخر کب تک پاکستانیوں کی قیمتی زندگیوں کو خطرےمیں ڈالا جاتارہےگا"
Allah O Akbar,"پیسےکی ھوس م مبتلاغداروں کےنام
پاک فوج پربزدلی کاالزام پاکستان کوکمزورکرکےبھارت کےآگےڈالنےکی دانستہ ناپاک کوشش ھے
ماں کاڈوپٹہ زمین پرنہ رولودھرتی تمہاری ماں ھےبھارت تمہارادوست نہیں اسےدعوت نہ دو
اپنی ماں،بہن،بیٹی کی عزت بھارتی بھیڑیوں کوپیش نہ کرو
اپنی حفاظتی دیوارنہ گراو"
آیان محسن,"وزیر داخلہ نے صحیح کہا ہے.
کیونکہ فوج کے خلاف جو بولتے ہیں انہیں طالبان کے نام سے ماردیا جاتا ہے.
اور آگر فوج کے حق میں بولتے ہیں تو پی ٹی ایم والے مار دیتے ہیں.
واقعی اس پر کمیشن بنایا جانا چاہئے"
Muhammad Naeem,"ایک بات بتائیں
آپ لوگ کہتے ہو کہ ایٹمی دھماکے
نواز شریف نہیں کر رہا تھا.
تو یہ جرنیلوں نے کروائے
اور دوسری طرف کہتے ہو کہ
کارگل جنگ میں فوج نوازشریف نے واپس بلائی مشرف نہیں مان رہا تھا.
کیا یہ کھلا تضاد نہیں ہے"
Sardar Saqib(PMLN),"گونیازی گو۔۔۔
اب پی ٹی آئی والو کو  ڈوب کر مر ہی جانا چاھئے ایک سائیڈ گونیازی گو دوجے پاسے ڈبو صاحب نے  وی کہ دتا فوج نو نہی بلکہ  شاہ محمود نو آکھیا سی۔۔
لو جی یوتھیو پھڑو فر۔۔۔"
Allah O Akbar,"پیسےکی ھوس م مبتلاغداروں کےنام
پاک فوج پربزدلی کاالزام پاکستان کوکمزورکرکےبھارت کےآگےڈالنےکی دانستہ ناپاک کوشش ھے
ماں کاڈوپٹہ زمین پرنہ رولو دھرتی تمہاری ماں ھے
بھارت تمہارادوست نہیں اسےدعوت نہ دو
اپنی ماں،بہن،بیٹی کی عزت بھارتی بھیڑیوں کوپیش نہ کرو
اپنی حفاظتی دیوارنہ گراو"
Mughal,یہ بھی ایک اچھی خبر ہے پاک فوج کے حق میں پیلے پاکستان بعد میں پارٹی 
AB BHATTI,اگر فوج کی ٹانگیں کانپتی تو نو ماہ کا پروجیکٹ چار ماہ میں مکمل نا ہوتا پاک فوج زندہ آباد پاکستان پائیندہ آباد 
Allah O Akbar,"غداروں کےنام
پاک فوج پربزدلی کاالزام پاکستان کوکمزورکرکےبھارت کےآگےڈالنےکی دانستہ ناپاک کوشش ھے
اپنی ماں کاڈوپٹہ زمین پرنہ رولو۔دھرتی تمہاری ماں ھے
بھارت تمہارادوست نہیں اسےدعوت نہ دو
اپنی ماں،بہن،بیٹی کی عزت بھارتی بھیڑیوں کوپیش نہ کرو
اپنی حفاظتی دیوارنہ گراو"
Waqar Ahmed,"The following media includes potentially sensitive content. Change settings
View"
پاکستانی سولین,اس غدار کو فوج پاکستانی قوم کے ٹیکس میں سے پتہ نہیں کتنا پیسہ دیتی ہے جو پاکستان کے کروڑوں شہریوں کو غدار ثابت کرنے پر تلا ہوا ہے۔
"میری پہچان میرا پاکستان
I love u pakistan","Quote Tweet
عرفان احمد
@arfanahmad28
 · Nov 1
Replying to @pmln_org and @betterpakistan
ابھی تو ان کے کپڑے اتار کر چوک میں کھڑا کرنا ہے بس تھوڑا انتظار کرو۔ پاکستان اور پاک فوج کے خلاف بھونکنے والوں کی زبانیں کھینچ کر رکھ دیں کیونکہ ہم پاکستانی ہیں پاک فوج ہمارے سر کا تاج ہے"
Irfan Elahi.,"From 
Zohaib Malik"
RajaWaseem(OneManArmy),"Quote Tweet
Rabiaftab
@rabi822
 · Oct 31
یہ انسان سر عام ن لیگیوں کو دھمکیاں تو لگا ہی رہا ہے لیکن اس کی بیہودہ تقریر میں ایک بات بہت عجیب ہے کہ طالبان نے ری ایکشن میں بلوروں کو مار دیا 
تو کیا اب ہم یہ پوچھ سکتے ہیں کہ ہزاروں جوانوں اور اے پی ایس کے معصوم بچوں کو کس ری ایکشن میں شہید کیا گیا ؟؟؟"
محب وطن پاکستانی,"From 
Aamnah Jabeen"
Allah O Akbar,"اپوزیشن والو
پاک فوج پربزدلی کاالزام 
پاکستان کوکمزورکرکےبھارت کےآگےڈالنےکی دانستہ ناپاک کوشش ھے
اپنی ماں کاڈوپٹہ زمین پرنہ رولو
دھرتی تمہاری ماں ھے
بھارت تمہارادوست نہیں اسےدعوت نہ دو
اپنی ماں،بہن،بیٹی کی عزت بھارتی بھیڑیوں کوپیش نہ کرو
اپنی حفاظتی دیوارنہ گراو"
Raja Tahir,جی بالکل عمران،  فوج اور ن لیگ میں ٹکراؤ پیدا کرنا چاہتا ہے۔ تاکہ اسکی حکومت قائم رہے۔ اور ن لیگ قیادت کو بھی یہ بات زیر غور لانی چاہیے۔
میمن ٹایٸگر ( چھترول اسپیشلسٹ),Aftab Siddiqui and 3 others
گجر بادشاہ,پھر کہتے ہیں فوج بار بار مداخلت کرتی ہے لعنت تم پر
Pindi B,"مزے کی بات بتاتا ھو سارا دن مریم فوج پے بونکتی ھے رات کو سوتی فوجی کے ساتھ ھی ھے ابا جی نے اپکو لال بتی پچھلے لگایا ھوا اور ادار یہ پھدو بنا رھی ھے۔۔۔۔
پھر قطری پریکٹس بھی ھے اسے۔۔۔۔۔"
