user_name,tweets
Ashraf Ali Advocate AAA,یہ تو ہونا ہی تھا ،،،، اور مانگو بزدل فوج سے رسیدیں!
PRINCE HAMAD BIN JASSIM (قطری شہزادہ),پٹواری ہو جاہل جھوٹا اور فوج پر بھونکنے والا کتا نہ ہو نہ ممکن پہلے تو یہ تصویر افغانستان کی ہے دوسرا جب نمبر ون انکو پکڑتی ہے تو تیر کنجری باجی اسکی ڈی پی لگا لیتی ہے مسنگ پرسن کے نام پر
مرشد Murshid,"Quote Tweet
Kamran Khan
@AajKamranKhan
 · 2h
پشاور میں مذہبی مدرسے پر دہش گرد حملہ ہمیں بھارتی انٹیلیجنس بذریعہ اجیت ڈوول مسلسل  دھمکیاں یاد دلاتا ہے دشمن ہم ہر حملہ آور ہے! سیاسی قیادت اپنے دل پر ہاتھ رکھ کر بتائے  کہ وہ عوامی اجتماعات میں فوج اور اس کے کمانڈرز کو ہتک کا نشانہ بنا کر کیا دشمن ہاتھوں میں نہیں کھیل رہی ؟"
Usman Ali Farooqi,فوج اور کمانڈرز کا کام ہیں عوام کا حفاظت کرنا نہ کہ صرف تھرٹ جاری کرنا۔۔۔۔۔۔۔ یہ واقعہ  APAسے زیادہ اہم ہے ۔۔دیکھتے کہ آب نیشنل ایکشن فلان کیا کر تا ہے۔۔۔۔
سُندس,*بھارتی فوج۔۔۔
Zawiya 2,کچھ مثبت باتیں کریں پاکستان کے حق میں، cool نظر آنے کے لیے دشمن ایجنٹوں کی ہاں میں ہاں نہ ملائیں، اپنی فوج کی ہمت بڑ ھائیں
نا شناس,"Quote Tweet
Akbar
@Aakbar84
 · 29m
جناب جب سکیورٹی ایجنسیاں بیگ رکھنے والوں کو بیگ رکھنے سے پہلے ہی اٹھا لیتی ہیں تو سب سے زیادہ بے شرمی بھی آپ ہی کرتے کے پرسن مسنگ ہوگیا پرسن مسنگ ہوگیا
ماما قدیر کو آپ نے ہیرو بنایا ہوا تھا لیکن کل سے اسکا بیان نہیں چلا رہے نا اسکی ویڈیو ڈالی ہے کیا بات ہے ؟ twitter.com/HamidMirPAK/st…"
Imran Maqbool,اوئے دو نمبر انسان۔ فوج کا کام اس ملک کی حفاظت کرنا ہے اندر اور باہر سے۔ نواز شریف چور زرداری ڈاکو۔ پہلے غلطی کی ان کو لانے کی۔ کھوتی دے بچے، اگر تمہیں یہی نہیں پتہ کہ اقامہ اور فالودہ سے پاکستان کا کتنا نقصان ہوا ہے تو تمہیں چلو بھر پانی میں شرم سے ڈوب مرنا چاہئے۔
Sho Afridi,"فوج بھی اور کیا کر سکتی ہے
ہاں نغمہ بھی ریلیز کر سکتی ہے"
HUMA AZEEM,"کیا کسی بھی پاکستانی کو یہ زیب دیتا ہے کہ وہ بھارتی میڈیا پر بیٹھ کے کسی بھی شخصیت یا کتاب کے حوالے سے پاک فوج کے جرنیلوں کو اغواء کار اور قاتل قرار دے؟
بیغیرت باپ کے بیغیرت بیٹے حامد میر نے یہ بھی کر دکھایا میر جعفر کی اولاد غداروی ان کی نسل میں ھے ۔
دشمن سے پہلے غداروں کو مارو"
پاک فوج زندہ آباد,لعنت ایسی سیاست ایسی کرسی اور انسان ہونے پر تم لوگ اپنی کرسی پاور پیسے کے پیچھے لڑو اور یہ عوام کس حال میں ھے یہ دیکھو جب مر کر اللہ کے سامنے جاوگے نواز شریف مریم یا شہباز شریف تم لوگوں کی بخشش نہیں کراویگا اس کرسی کے مزے اور حساب کتنا سخت ھےیہ موت کے بعد تم سبکو پتہ لگے گا
Ashraf Ali Advocate AAA,اور مانگو فوج سے رسیدیں!
Bold Pakistani,جب تک فوج ہے ان کا باپ بھی الگ نہیں کر سکتا پہلے بڑے بڑے سردار آئے اب تو زمانہ جدید ہو گیا اور مشکل ہے
Fahim Khan,پہلے دہشت گردوں کو پالنے اور رہا کرنے والی فوج سے تو قانون پر عمل کروالو۔۔۔۔
Shamz,یہ حملے ہمیشہ سے فوج کرتی ہیں اور تمھارے جیسے دلال لوگوں کی قتل پر سیاست کرتے ہیں،، احسان اللہ احسان کو فوج نے رہا کیا یہ سب کچھ کروانے کیلئے
Aamir Khan,"Quote Tweet
Nasir Butt
@nasirbuttuk
 · 2h
یا اللہ پاکستان کی حفاظت فرما۔میرے پاکستان کو غیر محفوظ کر نے والے کرداروں کو  کیفر کدار تک پہنچا۔"
Shahid Khan,جتنی ہم اپنی فوج سے محبت کرتے ہیں اتنی محبت تو ہم اپنے ہم اپنے آپ سے بھی نہیں کرتے فوج ہماری جان ہماری آن ہماری شان دی پاک فوج زندہ باد ۔۔۔اللہ پاک  پاک فوج کی  حفاظت فرمائے امین
الزين,"Quote Tweet
الزين
@AL_zain999
 · 4h
شكراً ياخي بقوه منورين حسابي"
گمنام سپاہی,اتی کمزور فوج ہے کہ اپوزیشن کے بیانات سے کمر ٹوٹ گئی ؟؟ ہمارے اداروں کو اگر فرصت ملے تو کام کریں۔
Eye's On Skies,"Quote Tweet
azka noor
@Manjula556
 · 3h
Replying to @MerayTweets
Wo apna kam kr rahe hain last 15 years se wohe lar rahe hain is terrorism k against koi politician nh"
Sana Ullah Bilal,بی بی جب دہشتگرد پکڑے جاتے ہیں دھماکے روکے جاتے ہیں تب سب کے منہ کو لقوہ مار جاتا ہے۔ یاد نہیں جب آ ئے روز دھماکے ہوتے تھے اسی پاک فوج نے جانیں دے کر ان کو روکا اب  بھی ڈٹ کے مقابلہ کر رہی ہے روز لڑتے شہید ہو رہے۔ خیر آ پ NRO نہ ملنے کے غصے میں فوج کو گندہ کرو۔ Carry on Please.
ShEiKh KhaKSaR,"Quote Tweet
Hina
@HinaNawab3
 · 13m
حقیقت یہی ہے کہ کشمیر کو آزاد ہونے سے کوئی نہیں روک سکے گا

#KashmirBlackDay"
Taimoor Mian,کسی کھوتی کے بچے ،ڈفر ،اپوزیشن بھی تو یہ ہی کہ رہی ہے کہ فوج کا جو کام ہے اس پر دھیان دے بجائے سیاست کرنے کے۔
Afridi Tribal,اور فوج کے اکاونٹ والے جشن مناتے ہیں ۔ ۔8 اکتوبر  کو شیخ راشید نے یہ بیان دیا تو ۔ اس میں پر کون پشتون کو پشتون مارے ۔ ۔  لکین تم لوگ مسلمان نہیں ہو
shahid,"Quote Tweet
Muhammad Irfan Malik
@bismilmalik
 · 4h
Replying to @Iam_Jawaid and @HamidMirPAK
وقت آ گیا ہے کہ اب سیکیورٹی ان صحافیوں اور سیاستدانوں کے حوالے کر دینی چاہیے تک کہ اب یہ سینے پر گولی کھائیں اور سیکورٹی ادارے اب چھوٹی پر جائیں ان کی بہادری بھی اب قوم کے سامنے آنی چاہیے کہیں خالی بھڑکیں تو نہیں مارتے۔"
Maximus Decimus Meridius,یہ وہی اختر مینگل ہے جو نواز شریف کو گندی گالیاں دیا کرتا تھا اور ٢٥١٣ کے الیکشن میں فوج پر نواز شریف کو جتوانے کا الزام لگاتا تھا. کسی کو ثبوت چاہیے تو میں حاضر ہوں.
PRINCE HAMAD BIN JASSIM (قطری شہزادہ),انڈیا سے فوج بلا لو
گدھا پرور,یہ رنڈی کا بچہ نوازشریف صرف اپنی بیٹی کو لندن بلانے کے لئے فوج کو بلیک میل کررہا ہے۔ عوام کو جمہوریت کے نام پر چوتیا بنارہا ہے۔ PDM تحریک کا اصل مقصد مریم صفدر بہن کی لوڑی کو لندن بھجوانا ہے اسکے علاوہ کوئی مقصد نہیں۔
Afridi Tribal,ٹی ٹی پی  کا سر برا  احسان اللہ احسان  تیری  باپ فوج نے فرار کیا  ۔ پوری مسلمان۔ غم ہے اور فوج کے اکاونٹ والے جشن مناتے ہیں اس بات سے پتا لگا سکتے ہیں کے ناپاک فوج کتنا ظلم ہے ۔
alaudin jamali,ى تو ايک ليډر تها جو پشتون کيلي کام کرى جو پاک فوج نى اس کو اغوا کيا،
Ladla Tanveer,انہوں نے آپ کو کہا تھا کہ حملے ہو سکتے ہیں آپ لوگوں نے مذاق بنا لیا تھا۔ ہماری پاک فوج قربانیاں دے کر اس ملک کو سنبھالے ہوئے ہے۔
hafiz aleem,اقتدار کی حوص کو پلیز کہیں تو روک دو۔فوج کےاندر موجود آرمی چیف سے حوالدار تک آفیسرز کی چین کو نشانہ بناکرکیوں تباہ کرنا چاہتےھیں۔ آپ کہتے ھیں صرف آرمی چیف کےخلاف ھے لیکن آرمی چیف کےفیصلوں میں کورکمانڈرز کامشورہ بھی شامل ھوتا ھےاسطرح یقینافیصلہ میں آفیسرز کی پوری چین شامل ھوتی ھے
Qadir jogiani,"اپ اور اپکی پوری PDM دن رات دفاحی اداروں پر بھونکتی ہے پھر انکو یہ بھی کہتی ہے آپ دشمنوں کا پیچھا بھی کریں
کیا سکیورٹی اداروے اندر کے دشمن کو جواب دیں جنکی پشت پناہی آپ جیسے کررہے ہوں
یا کھلی دھمکیاں دینے والوں کو جواب دیں
فیصلہ آپ لوگوں نے کرنا ہے
جاہلوں
ہم  پاک فوج کے ساتھ ہیں"
zaheer Baloch,بلوچستان کی اجتماعی قبریں ان لوگوں کو دکهاہی نہیں اور نہ ہی مسخ شده لاشیں کیونکہ وه پاکستانی فوج کررہا ہے
Kashif MaLik,اگر یہ کام نوازشریف نے کروایا تو مطلب اکیلا نوازشریف تمہاری لمبر 1 ایجنسی طاقتور ترین فوج(جو  جاگتی تو ہم سوتے) اورانتہائی محنتی حکومتی سے زیادہ طاقتور نکلا۔۔۔۔بھائی کہیں تو یوتھ ذہن سے باہر نکل کرسوچ لیاکرو یا جو سبق پہلےدن سے پڑھایا گیا ہے اسی ڈگر پہ اندھے دماغ سے چلتے رہنا ہے
Loud Rebel™,"Quote Tweet
Burhan Hashmi
@BHashmik
 · 27m
را موساد پر الزام لگا کر اپنی خراب کارکردگی پر پردہ نہیں ڈالا جا سکتا ، اگر دہشگردی ہونے پر آرمی چیف اور آئی ایس آئی چیف کو فارغ کرنا چاہیے ، انہوں نے تو جیسے کسی کو جواب ہی نہیں دینا"
zaheer Baloch,"Quote Tweet
same baloch
@AlbaloshiSame
 · 35m
Replying to @geonews_urdu
اجتماعی قبریں تو بلوچستان سے بھی کئی سالوں سے مل رہی ہیں۔شاید انڈیا اب اپ سے سیکھ رہا ہے"
Sajjad Ali,انصار صاحب آپ فوج میں آجائے آپ بہتر جانتی ہیں کہ فوج کو کیا کام کرنا ہے
khan lala 786,Mohsin Dawar and 9 others
Mudassar Khan,اسلیئے بھارتی فوج کے بجائے پاکستتانی فوج کو نشانہ بنایا ہوا ہے آپ لوگوں نے۔ نظریاتی سرحد پے آپ پاکستان پے حملہ آور ہیں، اور جیوگرافیکل سرحد پر بھارت حملے کر رہا ہے۔
Advocate Wasif Almas,کیونکہ اُس نے خود کہا تھا کہ میں فوج کا ترجمان ہوں۔۔
amjad ali,"نواز شریف کو پاکستان واپس کون لا سکتا؟ نواز شریف کو فوج کی کن باتوں...
youtube.com"
